long,lat,group,order,region,subregion,fips
-86.50516510009766,32.34919738769531,1,1,alabama,autauga,1001
-86.53382110595703,32.35492706298828,1,2,alabama,autauga,1001
-86.54527282714844,32.36638641357422,1,3,alabama,autauga,1001
-86.556732177734375,32.377845764160156,1,4,alabama,autauga,1001
-86.57965850830078,32.38357162475586,1,5,alabama,autauga,1001
-86.59111022949219,32.377845764160156,1,6,alabama,autauga,1001
-86.61402893066406,32.389305114746094,1,7,alabama,autauga,1001
-86.61975860595703,32.406490325927734,1,8,alabama,autauga,1001
-86.62548828125,32.41795349121094,1,9,alabama,autauga,1001
-86.63694763183594,32.41795349121094,1,10,alabama,autauga,1001
-86.65413665771484,32.41222381591797,1,11,alabama,autauga,1001
-86.65986633300781,32.389305114746094,1,12,alabama,autauga,1001
-86.67132568359375,32.36638641357422,1,13,alabama,autauga,1001
-86.68278503417969,32.36638641357422,1,14,alabama,autauga,1001
-86.71143341064453,32.377845764160156,1,15,alabama,autauga,1001
-86.7171630859375,32.40076446533203,1,16,alabama,autauga,1001
-86.740081787109375,32.406490325927734,1,17,alabama,autauga,1001
-86.75153350830078,32.40076446533203,1,18,alabama,autauga,1001
-86.76873016357422,32.406490325927734,1,19,alabama,autauga,1001
-86.78018951416016,32.40076446533203,1,20,alabama,autauga,1001
-86.77445983886719,32.38357162475586,1,21,alabama,autauga,1001
-86.76873016357422,32.36638641357422,1,22,alabama,autauga,1001
-86.78018951416016,32.343467712402344,1,23,alabama,autauga,1001
-86.78018951416016,32.32627868652344,1,24,alabama,autauga,1001
-86.79737091064453,32.32054901123047,1,25,alabama,autauga,1001
-86.80310821533203,32.32627868652344,1,26,alabama,autauga,1001
-86.81456756591797,32.337738037109375,1,27,alabama,autauga,1001
-86.81456756591797,32.34919738769531,1,28,alabama,autauga,1001
-86.81456756591797,32.36638641357422,1,29,alabama,autauga,1001
-86.8260269165039,32.389305114746094,1,30,alabama,autauga,1001
-86.83174896240234,32.40076446533203,1,31,alabama,autauga,1001
-86.83174896240234,32.423683166503906,1,32,alabama,autauga,1001
-86.83747863769531,32.435142517089844,1,33,alabama,autauga,1001
-86.85467529296875,32.44087219238281,1,34,alabama,autauga,1001
-86.86040496826172,32.45806121826172,1,35,alabama,autauga,1001
-86.8775863647461,32.492435455322266,1,36,alabama,autauga,1001
-86.89478302001953,32.52108383178711,1,37,alabama,autauga,1001
-86.9005126953125,32.54973220825195,1,38,alabama,autauga,1001
-86.90624237060547,32.58983612060547,1,39,alabama,autauga,1001
-86.9119644165039,32.61848831176758,1,40,alabama,autauga,1001
-86.9119644165039,32.63567352294922,1,41,alabama,autauga,1001
-86.9119644165039,32.66432571411133,1,42,alabama,autauga,1001
-86.6999740600586,32.66432571411133,1,43,alabama,autauga,1001
-86.6999740600586,32.71016311645508,1,44,alabama,autauga,1001
-86.419219970703125,32.704429626464844,1,45,alabama,autauga,1001
-86.419219970703125,32.41795349121094,1,46,alabama,autauga,1001
-86.43640899658203,32.41222381591797,1,47,alabama,autauga,1001
-86.45360565185547,32.406490325927734,1,48,alabama,autauga,1001
-86.465057373046875,32.389305114746094,1,49,alabama,autauga,1001
-86.48224639892578,32.377845764160156,1,50,alabama,autauga,1001
-86.50516510009766,32.34919738769531,1,51,alabama,autauga,1001
-87.02082824707031,32.83620834350586,4,222,alabama,bibb,1007
-87.30731201171875,32.841941833496094,4,223,alabama,bibb,1007
-87.30731201171875,32.876319885253906,4,224,alabama,bibb,1007
-87.416168212890625,32.876319885253906,4,225,alabama,bibb,1007
-87.41043853759766,33.00236892700195,4,226,alabama,bibb,1007
-87.30158233642578,33.01382827758789,4,227,alabama,bibb,1007
-87.30158233642578,33.082584381103516,4,228,alabama,bibb,1007
